0,0,0
2,2,0
3,3,1
5,5,1
6,6,1
8,8,1
9,9,2
11,11,2
12,12,2
13,13,2
14,15,3
15,16,3
16,17,3
17,18,3
18,19,2
19,20,2
20,21,2
21,22,1
22,23,1
22,24,0
23,25,0
24,26,0
24,27,0
25,27,0
26,28,0
27,29,0
27,30,0
28,31,0
29,32,0
29,33,0
30,33,0
30,34,0
31,35,0
32,36,0
32,37,0
33,38,0
33,39,0
34,40,0
34,41,0
35,42,0
36,43,0
36,44,0
37,44,0
37,45,0
38,46,0
38,47,0
39,48,0
39,49,0
40,50,0
40,51,0
41,52,0
41,53,0
41,54,0
42,55,0
42,56,0
43,57,0
43,58,0
44,59,0
44,60,0
45,61,0
45,62,0
45,63,0
46,64,0
46,65,0
47,66,0
47,67,0
48,68,0
48,69,0
48,70,0
49,71,0
49,72,0
50,73,0
50,74,0
51,75,0
51,76,0
52,77,0
52,78,0
52,79,0
53,80,0
53,81,0
54,82,0
54,83,0
55,84,0
55,85,0
56,86,0
56,87,0
57,88,0
57,90,0
58,91,0
58,92,0
59,93,0
59,94,0
60,95,0
60,96,0
61,97,0
61,98,0
62,99,0
62,100,0
63,101,0
63,102,0
64,103,0
64,104,0
65,105,0
65,107,0
66,108,0
66,109,0
67,110,0
68,111,0
68,112,0
69,113,0
69,114,0
70,115,0
70,116,0
71,117,0
72,118,0
72,119,0
73,121,0
73,122,0
74,123,0
75,124,0
75,125,0
76,126,0
77,127,0
77,128,0
78,129,0
79,130,0
79,131,0
80,132,0
81,134,0
81,135,0
82,136,0
83,137,0
83,138,0
84,139,0
85,140,0
86,141,0
86,142,0
87,143,0
88,144,0
89,146,0
90,147,0
90,148,0
91,149,0
92,150,0
93,151,0
94,152,0
95,153,0
95,154,0
96,155,0
97,156,0
98,157,0
99,159,0
100,160,0
101,161,0
102,162,0
103,163,0
104,164,0
104,165,3
105,166,7
106,167,10
107,168,14
108,169,17
109,170,20
110,171,22
111,173,25
113,174,28
114,175,30
115,176,32
116,177,35
117,178,37
118,179,39
119,180,41
120,181,44
121,182,46
122,183,48
124,184,50
125,185,52
126,186,54
127,187,57
128,188,59
129,189,61
131,190,63
132,191,65
133,192,67
134,194,70
136,195,72
137,196,74
138,197,76
139,198,78
141,199,81
142,200,83
143,201,85
145,202,87
146,203,90
147,204,92
149,205,94
150,206,96
152,207,99
153,208,101
154,209,103
156,210,106
157,211,108
159,211,110
160,212,113
162,213,115
163,214,118
165,215,120
166,216,123
168,217,125
169,218,127
171,219,130
172,220,132
174,221,135
176,222,138
177,223,140
179,224,143
180,225,145
182,225,148
184,226,150
185,227,153
187,228,156
189,229,158
191,230,161
192,231,163
194,232,166
196,232,169
198,233,172
199,234,174
201,235,177
203,236,180
205,237,182
207,238,185
208,238,188
210,239,191
212,240,194
214,241,196
216,242,199
218,242,202
220,243,205
222,244,208
224,245,211
226,245,214
228,246,216
230,247,219
232,248,222
234,248,225
236,249,228
238,250,231
240,250,234
242,251,237
244,252,240
246,252,243
248,253,246
251,254,249
253,254,252
255,255,255
